Name,MSRP,Gas Mileage,Engine
2019 Acura RDX Specs: FWD w/Technology Pkg,"$40,600.00",22 mpg City/28 mpg Hwy,"Turbo Premium Unleaded I-4, 2.0 L"
2019 Acura RDX Specs: FWD w/Advance Pkg,"$45,500.00",22 mpg City/28 mpg Hwy,"Turbo Premium Unleaded I-4, 2.0 L"
2019 Acura RDX Specs: FWD w/A-Spec Pkg,"$43,600.00",22 mpg City/27 mpg Hwy,"Turbo Premium Unleaded I-4, 2.0 L"
2019 Acura RDX Specs: FWD,"$37,400.00",22 mpg City/28 mpg Hwy,"Turbo Premium Unleaded I-4, 2.0 L"
2019 Acura RDX Specs: AWD w/Technology Pkg,"$42,600.00",21 mpg City/27 mpg Hwy,"Turbo Premium Unleaded I-4, 2.0 L"
2019 Acura RDX Specs: AWD w/Advance Pkg,"$47,500.00",21 mpg City/27 mpg Hwy,"Turbo Premium Unleaded I-4, 2.0 L"
2019 Acura RDX Specs: AWD w/A-Spec Pkg,"$45,600.00",21 mpg City/26 mpg Hwy,"Turbo Premium Unleaded I-4, 2.0 L"
2018 Acura RDX Specs: AWD,"$37,500.00",19 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2018 Acura RDX Specs: FWD w/Technology/AcuraWatch Plus Pkg,"$41,000.00",20 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2018 Acura RDX Specs: FWD w/Technology Pkg,"$39,700.00",20 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2018 Acura RDX Specs: FWD w/Advance Pkg,"$42,700.00",20 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2018 Acura RDX Specs: FWD w/AcuraWatch Plus,"$37,300.00",20 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2018 Acura RDX Specs: FWD,"$36,000.00",20 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2018 Acura RDX Specs: AWD w/Technology/AcuraWatch Plus Pkg,"$42,500.00",19 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2018 Acura RDX Specs: AWD w/Technology Pkg,"$41,200.00",19 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2018 Acura RDX Specs: AWD w/Advance Pkg,"$44,200.00",19 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2018 Acura RDX Specs: AWD w/AcuraWatch Plus,"$38,800.00",19 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura RDX Specs: AWD 4-Door,"$36,870.00",19 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura RDX Specs: FWD 4-Door Tech/AcuraWatch Plus Pkg,"$40,370.00",20 mpg City/29 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura RDX Specs: FWD 4-Door Tech Pkg,"$39,070.00",20 mpg City/29 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura RDX Specs: FWD 4-Door Advance Pkg,"$42,020.00",20 mpg City/29 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura RDX Specs: FWD 4-Door AcuraWatch Plus Pkg,"$36,670.00",20 mpg City/29 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura RDX Specs: FWD 4-Door,"$35,370.00",20 mpg City/29 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura RDX Specs: AWD 4-Door Tech/AcuraWatch Plus Pkg,"$41,870.00",19 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura RDX Specs: AWD 4-Door Tech Pkg,"$40,570.00",19 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura RDX Specs: AWD 4-Door Advance Pkg,"$43,520.00",19 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura RDX Specs: AWD 4-Door AcuraWatch Plus Pkg,"$38,170.00",19 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2015 Acura RDX Specs: AWD 4-Door,"$36,495.00",19 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2015 Acura RDX Specs: FWD 4-Door Tech Pkg,"$38,795.00",20 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2015 Acura RDX Specs: FWD 4-Door,"$35,095.00",20 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2015 Acura RDX Specs: AWD 4-Door Tech Pkg,"$40,195.00",19 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2014 Acura RDX Specs: AWD 4-Door,"$35,920.00",19 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2014 Acura RDX Specs: FWD 4-Door Tech Pkg,"$38,220.00",20 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2014 Acura RDX Specs: FWD 4-Door,"$34,520.00",20 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2014 Acura RDX Specs: AWD 4-Door Tech Pkg,"$39,620.00",19 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2013 Acura RDX Specs: AWD 4-Door,"$35,720.00",19 mpg City/27 mpg Hwy,"Gas V6, 3.5L"
2013 Acura RDX Specs: FWD 4-Door Tech Pkg,"$38,020.00",20 mpg City/28 mpg Hwy,"Gas V6, 3.5L"
2013 Acura RDX Specs: FWD 4-Door,"$34,320.00",20 mpg City/28 mpg Hwy,"Gas V6, 3.5L"
2013 Acura RDX Specs: AWD 4-Door Tech Pkg,"$39,420.00",19 mpg City/27 mpg Hwy,"Gas V6, 3.5L"
2012 Acura RDX Specs: AWD 4-Door,"$34,895.00",17 mpg City/22 mpg Hwy,"Turbocharged Gas I4, 2.3L"
2012 Acura RDX Specs: FWD 4-Door Tech Pkg,"$35,995.00",19 mpg City/24 mpg Hwy,"Turbocharged Gas I4, 2.3L"
2012 Acura RDX Specs: FWD 4-Door,"$32,895.00",19 mpg City/24 mpg Hwy,"Turbocharged Gas I4, 2.3L"
2012 Acura RDX Specs: AWD 4-Door Tech Pkg,"$37,995.00",17 mpg City/22 mpg Hwy,"Turbocharged Gas I4, 2.3L"
2011 Acura RDX Specs: AWD 4-Door,"$34,895.00",17 mpg City/22 mpg Hwy,"Turbocharged Gas I4, 2.3L"
2011 Acura RDX Specs: FWD 4-Door Tech Pkg,"$35,995.00",19 mpg City/24 mpg Hwy,"Turbocharged Gas I4, 2.3L"
2011 Acura RDX Specs: FWD 4-Door,"$32,895.00",19 mpg City/24 mpg Hwy,"Turbocharged Gas I4, 2.3L"
2011 Acura RDX Specs: AWD 4-Door Tech Pkg,"$37,995.00",17 mpg City/22 mpg Hwy,"Turbocharged Gas I4, 2.3L"
2010 Acura RDX Specs: AWD 4-Door,"$34,520.00",17 mpg City/22 mpg Hwy,"Gas I4, 2.3L"
2010 Acura RDX Specs: FWD 4-Door Tech Pkg,"$35,620.00",19 mpg City/24 mpg Hwy,"Gas I4, 2.3L"
2010 Acura RDX Specs: FWD 4-Door,"$32,520.00",19 mpg City/24 mpg Hwy,"Gas I4, 2.3L"
2010 Acura RDX Specs: AWD 4-Door Tech Pkg,"$37,620.00",17 mpg City/22 mpg Hwy,"Gas I4, 2.3L"
2009 Acura RDX Specs: AWD 4-Door,"$33,895.00",17 mpg City/22 mpg Hwy,"Gas I4, 2.3L"
2009 Acura RDX Specs: AWD 4-Door Tech Pkg,"$37,195.00",17 mpg City/22 mpg Hwy,"Gas I4, 2.3L"
2008 Acura RDX Specs: 4WD 4-Door,"$33,195.00",17 mpg City/22 mpg Hwy,"Gas I4, 2.3L"
2008 Acura RDX Specs: 4WD 4-Door Tech Pkg,"$36,695.00",17 mpg City/22 mpg Hwy,"Gas I4, 2.3L"
2007 Acura RDX Specs: AWD 4-Door,"$32,995.00",19 mpg City/23 mpg Hwy,"Gas I4, 2.3L"
2007 Acura RDX Specs: AWD 4-Door Tech Pkg,"$36,495.00",19 mpg City/23 mpg Hwy,"Gas I4, 2.3L"
2019 Acura MDX Specs: FWD,"$44,300.00",20 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2019 Acura MDX Specs: SH-AWD w/Technology/Entertainment Pkg,"$53,300.00",19 mpg City/26 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2019 Acura MDX Specs: SH-AWD w/Technology/A-Spec Pkg,"$54,800.00",19 mpg City/25 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2019 Acura MDX Specs: SH-AWD w/Technology Pkg,"$51,300.00",19 mpg City/26 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2019 Acura MDX Specs: SH-AWD w/Advance/Entertainment Pkg,"$60,050.00",19 mpg City/26 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2019 Acura MDX Specs: SH-AWD w/Advance Pkg,"$58,050.00",19 mpg City/26 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2019 Acura MDX Specs: SH-AWD Sport Hybrid w/Technology Pkg,"$52,800.00",26 mpg City/27 mpg Hwy,"Gas/Electric V-6, 3.0 L"
2019 Acura MDX Specs: SH-AWD Sport Hybrid w/Advance Pkg,"$59,550.00",26 mpg City/27 mpg Hwy,"Gas/Electric V-6, 3.0 L"
2019 Acura MDX Specs: SH-AWD,"$46,300.00",19 mpg City/26 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2019 Acura MDX Specs: FWD w/Technology/Entertainment Pkg,"$51,300.00",20 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2019 Acura MDX Specs: FWD w/Technology Pkg,"$49,300.00",20 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2019 Acura MDX Specs: FWD w/Advance/Entertainment Pkg,"$58,050.00",20 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2019 Acura MDX Specs: FWD w/Advance Pkg,"$56,050.00",20 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2018 Acura MDX Specs: FWD,"$44,200.00",19 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2018 Acura MDX Specs: SH-AWD w/Technology/Entertainment Pkg,"$52,600.00",18 mpg City/26 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2018 Acura MDX Specs: SH-AWD w/Technology Pkg,"$50,600.00",18 mpg City/26 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2018 Acura MDX Specs: SH-AWD w/Advance/Entertainment Pkg,"$58,650.00",19 mpg City/26 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2018 Acura MDX Specs: SH-AWD w/Advance Pkg,"$56,650.00",19 mpg City/26 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2018 Acura MDX Specs: SH-AWD Sport Hybrid w/Technology Pkg,"$52,100.00",26 mpg City/27 mpg Hwy,"Gas/Electric V-6, 3.0 L"
2018 Acura MDX Specs: SH-AWD Sport Hybrid w/Advance Pkg,"$58,150.00",26 mpg City/27 mpg Hwy,"Gas/Electric V-6, 3.0 L"
2018 Acura MDX Specs: SH-AWD,"$46,200.00",18 mpg City/26 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2018 Acura MDX Specs: FWD w/Technology/Entertainment Pkg,"$50,600.00",19 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2018 Acura MDX Specs: FWD w/Technology Pkg,"$48,600.00",19 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2018 Acura MDX Specs: FWD w/Advance/Entertainment Pkg,"$56,650.00",20 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2018 Acura MDX Specs: FWD w/Advance Pkg,"$54,650.00",20 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura MDX Specs: FWD 4-Door,"$43,015.00",19 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura MDX Specs: SH-AWD 4-Door w/Tech/Entertainment/AcuraWatch Plus,"$52,640.00",18 mpg City/26 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura MDX Specs: SH-AWD 4-Door w/Tech/Entertainment,"$51,440.00",18 mpg City/26 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura MDX Specs: SH-AWD 4-Door w/Tech/AcuraWatch Plus,"$50,640.00",18 mpg City/26 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura MDX Specs: SH-AWD 4-Door w/Tech,"$49,440.00",18 mpg City/26 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura MDX Specs: SH-AWD 4-Door w/Advance/Entertainment,"$57,230.00",19 mpg City/26 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura MDX Specs: SH-AWD 4-Door w/Advance,"$55,230.00",19 mpg City/26 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura MDX Specs: SH-AWD 4-Door w/AcuraWatch Plus,"$46,515.00",18 mpg City/26 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura MDX Specs: SH-AWD 4-Door,"$45,015.00",18 mpg City/26 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura MDX Specs: FWD 4-Door w/Tech/Entertainment/AcuraWatch Plus,"$50,640.00",19 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura MDX Specs: FWD 4-Door w/Tech/Entertainment,"$49,440.00",19 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura MDX Specs: FWD 4-Door w/Tech/AcuraWatch Plus,"$48,640.00",19 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura MDX Specs: FWD 4-Door w/Tech,"$47,440.00",19 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura MDX Specs: FWD 4-Door w/Advance/Entertainment,"$55,230.00",20 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura MDX Specs: FWD 4-Door w/Advance,"$53,230.00",20 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2016 Acura MDX Specs: FWD 4-Door w/AcuraWatch Plus,"$44,515.00",19 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2015 Acura MDX Specs: FWD 4-Door,"$42,765.00",20 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2015 Acura MDX Specs: SH-AWD 4-Door Tech/Entertainment Pkg,"$51,040.00",18 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2015 Acura MDX Specs: SH-AWD 4-Door Tech Pkg,"$49,040.00",18 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2015 Acura MDX Specs: SH-AWD 4-Door Advance/Entertainment Pkg,"$56,980.00",18 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2015 Acura MDX Specs: SH-AWD 4-Door,"$44,765.00",18 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2015 Acura MDX Specs: FWD 4-Door Tech/Entertainment Pkg,"$49,040.00",20 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2015 Acura MDX Specs: FWD 4-Door Tech Pkg,"$47,040.00",20 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2015 Acura MDX Specs: FWD 4-Door Advance/Entertainment Pkg,"$54,980.00",20 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2014 Acura MDX Specs: FWD 4-Door,"$42,290.00",20 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2014 Acura MDX Specs: SH-AWD 4-Door Tech/Entertainment Pkg,"$50,565.00",18 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2014 Acura MDX Specs: SH-AWD 4-Door Tech Pkg,"$48,565.00",18 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2014 Acura MDX Specs: SH-AWD 4-Door Advance/Entertainment Pkg,"$56,505.00",18 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2014 Acura MDX Specs: SH-AWD 4-Door,"$44,290.00",18 mpg City/27 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2014 Acura MDX Specs: FWD 4-Door Tech/Entertainment Pkg,"$48,565.00",20 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2014 Acura MDX Specs: FWD 4-Door Tech Pkg,"$46,565.00",20 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2014 Acura MDX Specs: FWD 4-Door Advance/Entertainment Pkg,"$54,505.00",20 mpg City/28 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2013 Acura MDX Specs: AWD 4-Door,"$43,280.00",,"Gas V6, 3.7L"
2013 Acura MDX Specs: AWD 4-Door Tech/Entertainment Pkg,"$48,855.00",,"Gas V6, 3.7L"
2013 Acura MDX Specs: AWD 4-Door Tech Pkg,"$46,955.00",,"Gas V6, 3.7L"
2013 Acura MDX Specs: AWD 4-Door Advance/Entertainment Pkg,"$54,805.00",,"Gas V6, 3.7L"
2013 Acura MDX Specs: AWD 4-Door Advance Pkg,"$52,905.00",,"Gas V6, 3.7L"
2012 Acura MDX Specs: AWD 4-Door,"$43,030.00",16 mpg City/21 mpg Hwy,"Gas V6, 3.7L"
2012 Acura MDX Specs: AWD 4-Door Tech/Entertainment Pkg,"$48,605.00",16 mpg City/21 mpg Hwy,"Gas V6, 3.7L"
2012 Acura MDX Specs: AWD 4-Door Advance Pkg,"$52,655.00",16 mpg City/21 mpg Hwy,"Gas V6, 3.7L"
2012 Acura MDX Specs: AWD 4-Door Advance/Entertainment Pkg,,16 mpg City/21 mpg Hwy,"Gas V6, 3.7L"
2012 Acura MDX Specs: AWD 4-Door Advance Pkg,"$52,655.00",16 mpg City/21 mpg Hwy,"Gas V6, 3.7L"
2011 Acura MDX Specs: AWD 4-Door,"$42,930.00",16 mpg City/21 mpg Hwy,"Gas V6, 3.7L"
2011 Acura MDX Specs: AWD 4-Door Tech/Entertainment Pkg,"$48,505.00",16 mpg City/21 mpg Hwy,"Gas V6, 3.7L"
2011 Acura MDX Specs: AWD 4-Door Tech Pkg,"$46,605.00",16 mpg City/21 mpg Hwy,"Gas V6, 3.7L"
2011 Acura MDX Specs: AWD 4-Door Advance/Entertainment Pkg,"$54,455.00",16 mpg City/21 mpg Hwy,"Gas V6, 3.7L"
2011 Acura MDX Specs: AWD 4-Door Advance Pkg,"$52,555.00",16 mpg City/21 mpg Hwy,"Gas V6, 3.7L"
2010 Acura MDX Specs: AWD 4-Door,"$42,230.00",16 mpg City/21 mpg Hwy,"Gas V6, 3.7L"
2010 Acura MDX Specs: AWD 4-Door Technology/Entertainment Pkg,"$47,805.00",16 mpg City/21 mpg Hwy,"Gas V6, 3.7L"
2010 Acura MDX Specs: AWD 4-Door Technology Pkg,"$45,905.00",16 mpg City/21 mpg Hwy,"Gas V6, 3.7L"
2010 Acura MDX Specs: AWD 4-Door Advance/Entertainment Pkg,"$53,755.00",16 mpg City/21 mpg Hwy,"Gas V6, 3.7L"
2010 Acura MDX Specs: AWD 4-Door Advance Pkg,"$51,855.00",16 mpg City/21 mpg Hwy,"Gas V6, 3.7L"
2009 Acura MDX Specs: AWD 4-Door,"$40,990.00",15 mpg City/20 mpg Hwy,"Gas V6, 3.7L"
2009 Acura MDX Specs: AWD 4-Door Tech/Entertainment Pkg,"$46,790.00",15 mpg City/20 mpg Hwy,"Gas V6, 3.7L"
2009 Acura MDX Specs: AWD 4-Door Tech Pkg,"$45,040.00",15 mpg City/20 mpg Hwy,"Gas V6, 3.7L"
2009 Acura MDX Specs: AWD 4-Door Sport/Entertainment Pkg,"$48,890.00",15 mpg City/20 mpg Hwy,"Gas V6, 3.7L"
2009 Acura MDX Specs: AWD 4-Door Sport Pkg,"$47,140.00",15 mpg City/20 mpg Hwy,"Gas V6, 3.7L"
2008 Acura MDX Specs: 4WD 4-Door,"$40,195.00",15 mpg City/20 mpg Hwy,"Gas V6, 3.7L"
2008 Acura MDX Specs: 4WD 4-Door Tech/Pwr Tail Gate,"$44,245.00",15 mpg City/20 mpg Hwy,"Gas V6, 3.7L"
